T_H_out,L,D_fr,V_0,AR,UA,dP_max,epsilon,Q_dot_diff,dP_H_diff,dP_C_diff,targetParameter,targetdP_max_Regen,Time
654.810594,0.657905,0.911565,0.429367,0.000000,1999.933080,150.001265,0.423551,0.088993,0.000000,0.000000,2000.000000,150.000000,5.000000
662.951698,0.669993,0.881741,0.409112,0.000000,1999.838663,175.001025,0.400611,0.000014,0.000000,0.000001,2000.000000,175.000000,5.000000
670.305646,0.680583,0.856751,0.392356,0.000000,1999.891866,200.000648,0.379836,0.000027,0.000000,0.000001,2000.000000,200.000000,6.000000
677.066611,0.689932,0.835315,0.378092,0.000000,1999.804069,225.000360,0.360695,0.000045,0.000000,0.000001,2000.000000,225.000000,6.000000
680.701181,0.698904,0.816384,0.365845,0.000000,1999.807063,250.000000,0.350389,0.000059,-0.000000,0.000002,2000.000000,250.000000,7.000000
683.008738,0.707342,0.799557,0.355155,0.000000,1999.892665,275.000000,0.343839,0.000070,-0.000000,0.000003,2000.000000,275.000000,8.000000
685.178010,0.715087,0.784505,0.345653,0.000000,1999.892675,300.000000,0.337675,0.000082,-0.000000,0.000004,2000.000000,300.000000,7.000000
624.030544,0.662298,1.007287,0.527776,0.000000,2124.962277,100.000000,0.509861,0.000235,-0.000008,0.000000,2125.000000,100.000000,3.000000
633.746315,0.680608,0.959625,0.492254,0.000000,2124.907060,125.000000,0.482703,0.009006,-0.000002,0.000000,2125.000000,125.000000,4.000000
642.188369,0.695780,0.922463,0.465007,0.000000,2124.832913,150.000752,0.459046,0.029644,0.000000,0.000000,2125.000000,150.000000,5.000000
649.688587,0.708786,0.892246,0.443174,0.000000,2124.880516,175.000484,0.437981,0.061057,0.000000,0.000000,2125.000000,175.000000,4.000000
656.491684,0.720113,0.866907,0.425046,0.000000,2124.793144,200.000289,0.418841,0.000008,0.000000,0.000001,2125.000000,200.000000,5.000000
662.709492,0.730227,0.845200,0.409701,0.000000,2124.876282,225.000160,0.401310,0.000014,0.000000,0.000001,2125.000000,225.000000,6.000000
668.479621,0.739285,0.826258,0.396400,0.000000,2124.822510,250.000000,0.385011,0.000024,-0.000072,0.000002,2125.000000,250.000000,6.000000
673.850159,0.747557,0.809516,0.384755,0.000000,2124.895920,275.000000,0.369814,0.000037,-0.000015,0.000003,2125.000000,275.000000,6.000000
678.898097,0.755108,0.794548,0.374403,0.000000,2124.893960,299.980440,0.355507,0.000055,-0.000000,0.000004,2125.000000,300.000000,7.000000
613.352694,0.697823,1.018729,0.568790,0.000000,2249.925942,100.000530,0.539653,0.003697,0.000000,0.000000,2250.000000,100.000000,3.000000
623.326794,0.717130,0.970579,0.530578,0.000000,2249.924015,125.000000,0.511848,0.000101,-0.000001,0.000000,2250.000000,125.000000,4.000000
631.162922,0.733285,0.932934,0.501261,0.000000,2249.863532,150.000275,0.489955,0.005396,0.000000,0.000000,2250.000000,150.000000,5.000000
638.125087,0.747141,0.902325,0.477769,0.000000,2249.905620,175.000149,0.470464,0.018350,0.000000,0.000000,2250.000000,175.000000,5.000000
644.433329,0.759234,0.876663,0.458280,0.000000,2249.836426,200.000000,0.452770,0.038503,-0.000073,0.000001,2250.000000,200.000000,5.000000
650.201882,0.770030,0.854677,0.441776,0.000000,2249.905135,225.000000,0.436562,0.065320,-0.000030,0.000001,2250.000000,225.000000,5.000000
655.549954,0.779721,0.835496,0.427483,0.000000,2249.862031,250.000000,0.421509,0.098491,-0.000009,0.000001,2250.000000,250.000000,5.000000
660.542647,0.788536,0.818536,0.414941,0.000000,2249.814730,275.000000,0.407443,0.000012,-0.000001,0.000002,2250.000000,275.000000,6.000000
665.226833,0.796624,0.803368,0.403806,0.000000,2249.777671,299.998890,0.394220,0.000019,-0.000000,0.000003,2250.000000,300.000000,5.000000
599.206101,0.733873,1.029046,0.610351,0.000000,2374.842361,100.000000,0.579006,0.020560,-0.000001,0.000000,2375.000000,100.000000,2.000000
613.124077,0.753488,0.980966,0.569474,0.000000,2374.868577,125.004468,0.540314,0.003950,0.000000,0.000000,2375.000000,125.000000,4.000000
621.466429,0.770417,0.943008,0.538080,0.000000,2374.884494,149.999875,0.517066,0.000016,-0.000000,0.000000,2375.000000,150.000000,4.000000
627.969444,0.785061,0.912009,0.512851,0.000000,2374.764477,175.000000,0.498911,0.002238,-0.000011,0.000000,2375.000000,175.000000,4.000000
633.836021,0.797948,0.886046,0.492013,0.000000,2374.868359,200.000000,0.482505,0.009559,-0.000000,0.000001,2375.000000,200.000000,5.000000
639.223849,0.809369,0.863782,0.474292,0.000000,2374.794376,225.000000,0.467414,0.021779,-0.000003,0.000001,2375.000000,225.000000,5.000000
644.195553,0.819716,0.844379,0.459017,0.000000,2374.886219,250.000000,0.453467,0.038603,-0.000009,0.000001,2375.000000,250.000000,6.000000
648.842756,0.829098,0.827215,0.445587,0.000000,2374.843066,275.000000,0.440411,0.059895,-0.000012,0.000002,2375.000000,275.000000,8.000000
653.204593,0.837711,0.811866,0.433663,0.000000,2374.801693,300.000000,0.428140,0.085424,-0.000004,0.000003,2375.000000,300.000000,5.000000
584.917302,0.769955,1.038749,0.652493,0.000000,2499.940338,100.004465,0.618628,0.041993,0.000000,0.000000,2500.000000,100.000000,1.000000
599.690066,0.790417,0.990396,0.608926,0.000000,2499.939432,125.000000,0.577689,0.020247,-0.000011,0.000000,2500.000000,125.000000,5.000000
611.095761,0.807564,0.952482,0.575415,0.000000,2499.833262,150.000000,0.545989,0.005893,-0.000003,0.000000,2500.000000,150.000000,4.000000
618.962186,0.822685,0.921360,0.548507,0.000000,2499.802926,175.000000,0.524079,0.000518,-0.000023,0.000000,2500.000000,175.000000,5.000000
624.452975,0.836297,0.895091,0.526241,0.000000,2499.893456,200.000000,0.508764,0.000368,-0.000051,0.000000,2500.000000,200.000000,7.000000
629.492802,0.848379,0.872570,0.507318,0.000000,2499.830538,225.000000,0.494687,0.003698,-0.000075,0.000001,2500.000000,225.000000,4.000000
634.157240,0.859271,0.852931,0.490962,0.000000,2499.753152,250.000000,0.481640,0.010411,-0.000087,0.000001,2500.000000,250.000000,7.000000
638.491940,0.869256,0.835579,0.476665,0.000000,2499.867763,275.000000,0.469500,0.020355,-0.000083,0.000002,2500.000000,275.000000,7.000000
642.571018,0.878384,0.820055,0.463938,0.000000,2499.827688,300.000000,0.458061,0.033477,-0.000051,0.000002,2500.000000,300.000000,5.000000
570.441073,0.805995,1.047878,0.695094,0.000000,2624.908464,100.000000,0.658652,0.059042,-0.000002,0.000000,2625.000000,100.000000,2.000000
586.145357,0.827272,0.999268,0.648787,0.000000,2624.816992,125.000000,0.615258,0.041062,-0.000014,0.000000,2625.000000,125.000000,4.000000
598.246243,0.845189,0.961157,0.613242,0.000000,2624.914710,150.002719,0.581727,0.022824,0.000000,0.000000,2625.000000,150.000000,5.000000
608.014133,0.860656,0.930023,0.584666,0.000000,2624.930839,175.000605,0.554595,0.009426,0.000000,0.000000,2625.000000,175.000000,5.000000
616.091953,0.874314,0.903828,0.560957,0.000000,2624.912420,200.000000,0.532110,0.001916,-0.000011,0.000000,2625.000000,200.000000,6.000000
620.823263,0.887044,0.881057,0.540808,0.000000,2624.860482,225.000234,0.518927,0.000082,0.000000,0.000001,2625.000000,225.000000,6.000000
625.201184,0.898529,0.861201,0.523397,0.000000,2624.792627,250.000243,0.506713,0.000651,0.000000,0.000001,2625.000000,250.000000,5.000000
629.271814,0.909050,0.843657,0.508171,0.000000,2624.888739,275.000220,0.495343,0.003575,0.000000,0.000001,2625.000000,275.000000,5.000000
633.100734,0.918681,0.827962,0.494624,0.000000,2624.849892,300.000162,0.484637,0.008820,0.000000,0.000002,2625.000000,300.000000,7.000000
555.833351,0.842069,1.056466,0.738157,0.000000,2749.948694,100.000141,0.698933,0.065281,0.000000,0.000000,2750.000000,100.000000,3.000000
572.402972,0.864203,1.007639,0.689153,0.000000,2749.930883,125.005232,0.653266,0.058792,0.000000,0.000000,2750.000000,125.000000,4.000000
585.280628,0.882735,0.969338,0.651434,0.000000,2749.780720,150.007535,0.617683,0.043310,0.000000,0.000000,2750.000000,150.000000,3.000000
595.640415,0.898819,0.938058,0.621186,0.000000,2749.857956,175.000431,0.588990,0.027447,0.000000,0.000000,2750.000000,175.000000,5.000000
604.151646,0.913053,0.911716,0.596080,0.000000,2749.925390,200.003166,0.565368,0.014705,0.000000,0.000000,2750.000000,200.000000,5.000000
611.359250,0.925778,0.889055,0.574716,0.000000,2749.818403,225.003792,0.545328,0.005926,0.000000,0.000001,2750.000000,225.000000,5.000000
617.177047,0.937461,0.869202,0.556269,0.000000,2749.823073,250.000460,0.529129,0.001337,0.000000,0.000001,2750.000000,250.000000,4.000000
621.021605,0.948461,0.851461,0.540057,0.000000,2749.749166,275.000417,0.518416,0.000059,0.000000,0.000001,2750.000000,275.000000,5.000000
624.616805,0.958637,0.835611,0.525718,0.000000,2749.869109,300.000339,0.508388,0.000445,0.000000,0.000002,2750.000000,300.000000,5.000000
